*    FB  Tele Strip  Intertcept   	Slope
     1     7    30   -1.057619    0.00723093
     1     7    31   -1.267145    0.00737220
     1     8     0   -0.900372    0.00723131
     1     8     1   -1.120352    0.00713990
     1     8     2   -1.110268    0.00731241
     1     8     3   -1.139811    0.00716238
     1     8     4   -1.138970    0.00726265
     1     8     5   -1.118383    0.00723504
     1     8     6   -0.941961    0.00726517
     1     8     7   -1.214348    0.00717427
     1     8     8   -1.090065    0.00725944
     1     8     9   -1.203897    0.00717518
     1     8    10   -1.058265    0.00725584
     1     8    11   -1.122034    0.00717230
     1     8    12   -1.044527    0.00727173
     1     8    13   -1.174297    0.00716689
     1     8    14   -1.071188    0.00729799
     1     8    15   -1.335029    0.00718758
     1     8    16   -1.039943    0.00727997
     1     8    17   -1.277062    0.00715577
     1     8    18   -0.978675    0.00729272
     1     8    19   -1.315853    0.00712511
     1     8    20   -0.995693    0.00726611
     1     8    21   -1.202603    0.00713053
     1     8    22   -1.029440    0.00726808
     1     8    23   -1.052861    0.00713180
     1     8    24   -1.037446    0.00729023
     1     8    25   -1.308550    0.00712725
     1     8    26   -1.078771    0.00727679
     1     8    27   -1.263084    0.00711628
     1     8    28   -1.018575    0.00725992
     1     8    29   -1.240444    0.00708628
     1     8    30   -1.067558    0.00726896
     1     8    31   -1.112598    0.00702095
     1     9     0   -1.050564    0.00732002
     1     9     1   -1.321161    0.00732484
     1     9     2   -1.117792    0.00734191
     1     9     3   -1.331900    0.00727201
     1     9     4   -1.122392    0.00737970
     1     9     5   -1.340816    0.00727894
     1     9     6   -1.188880    0.00735915
     1     9     7   -1.261873    0.00727796
     1     9     8   -1.118774    0.00735875
     1     9     9   -1.356570    0.00728852
     1     9    10   -1.025008    0.00737754
     1     9    11   -1.244604    0.00727633
     1     9    12   -1.150102    0.00734120
     1     9    13   -1.238746    0.00723874
     1     9    14   -1.074718    0.00735754
     1     9    15   -1.532238    0.00729411
     1     9    16   -1.120323    0.00738765
     1     9    17   -1.335901    0.00733946
     1     9    18   -1.045313    0.00736167
     1     9    19   -1.264793    0.00723534
     1     9    20   -0.992103    0.00735912
     1     9    21   -1.337074    0.00725838
     1     9    22   -1.255012    0.00736645
     1     9    23   -1.421296    0.00724925
     1     9    24   -1.100262    0.00730968
     1     9    25   -1.303099    0.00718994
     1     9    26   -1.145095    0.00736453
     1     9    27   -1.407866    0.00724648
     1     9    28   -1.184763    0.00734714
     1     9    29   -1.283935    0.00726925
     1     9    30   -1.287679    0.00732445
     1     9    31   -1.377563    0.00723609
     1    10     0   -0.896551    0.00710847
     1    10     1   -1.090895    0.00699151
     1    10     2   -0.955686    0.00713367
     1    10     3   -1.248173    0.00690150
     1    10     4   -1.132329    0.00713229
     1    10     5   -1.222471    0.00689927
     1    10     6   -1.114491    0.00708771
     1    10     7   -1.173460    0.00689197
     1    10     8   -0.938206    0.00715096
     1    10     9   -1.046054    0.00689723
     1    10    10   -0.943065    0.00711272
     1    10    11   -1.131663    0.00691274
     1    10    12   -0.919278    0.00714075
     1    10    13   -1.124070    0.00692116
     1    10    14   -1.133557    0.00713863
     1    10    15   -1.140599    0.00693106
     1    10    16   -1.088430    0.00711046
     1    10    17   -1.094605    0.00692972
     1    10    18   -1.102895    0.00713404
     1    10    19   -1.176677    0.00690811
     1    10    20   -1.112626    0.00711407
     1    10    21   -1.292744    0.00689114
     1    10    22   -0.983019    0.00709075
     1    10    23   -1.141016    0.00691676
     1    10    24   -1.044943    0.00711930
